method,N,target_correct,target_fail,target_selection_accuracy,grasp_attempted,physical_grasp_success,physical_grasp_success_rate_attempted,correct_object_grasp_success,task_success_rate,wrong_target_prevented,wrong_target_prevented_rate,wrong_object_grasp,asked_N,asked_rate,mean_questions_all,mean_questions_asked,mean_time_s,median_time_s
proposed_efe,57,53,4,0.9298245614035088,53,50,0.9433962264150944,50,0.8771929824561403,4,0.07017543859649122,0,19,0.3333333333333333,0.6140350877192983,1.8421052631578947,80.24446789005347,60.33890223503113
random_candidate,57,35,22,0.6140350877192983,35,29,0.8285714285714286,29,0.5087719298245614,22,0.38596491228070173,0,0,0.0,0.0,,40.238780113688684,46.49672317504883
top_score,57,34,23,0.5964912280701754,34,30,0.8823529411764706,30,0.5263157894736842,23,0.40350877192982454,0,0,0.0,0.0,,33.319528228358216,40.94772934913635
vlm_best_question,57,52,5,0.9122807017543859,52,46,0.8846153846153846,46,0.8070175438596491,5,0.08771929824561403,0,20,0.3508771929824561,0.7894736842105263,2.25,97.33129783262287,76.68568778038025
