scene_id,method,N,target_correct,target_fail,target_selection_accuracy,grasp_attempted,physical_grasp_success,physical_grasp_success_rate_attempted,correct_object_grasp_success,task_success_rate,wrong_target_prevented,wrong_target_prevented_rate,wrong_object_grasp,asked_N,asked_rate,mean_questions_all,mean_questions_asked,mean_time_s,median_time_s
scene_01,proposed_efe,2,2,0,1.0,2,2,1.0,2,1.0,0,0.0,0,1,0.5,1.0,2.0,112.67465019226074,112.67465019226074
scene_01,random_candidate,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,28.085040251413982,18.664626121521
scene_01,top_score,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,16.88800772031148,6.960195064544678
scene_01,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,1.3333333333333333,4.0,120.91152779261272,69.65821671485901
scene_02,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,1.0,3.0,121.86712169647217,80.00575828552246
scene_02,random_candidate,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,30.204804579416912,30.33409118652344
scene_02,top_score,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,34.38768513997396,44.29111742973328
scene_02,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,2,0.6666666666666666,1.6666666666666667,2.5,110.90194614728291,101.57255935668944
scene_03,proposed_efe,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,1,0.3333333333333333,1.3333333333333333,4.0,113.07336632410686,46.36718559265137
scene_03,random_candidate,3,1,2,0.3333333333333333,1,0,0.0,0,0.0,2,0.6666666666666666,0,0,0.0,0.0,,31.490676561991375,22.351070165634155
scene_03,top_score,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,19.335503657658894,6.217562437057495
scene_03,vlm_best_question,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,1,0.3333333333333333,1.3333333333333333,4.0,98.42101311683655,49.24596953392029
scene_04,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,1.0,3.0,119.75409611066182,78.31889939308167
scene_04,random_candidate,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,43.15519483884176,46.49672317504883
scene_04,top_score,2,1,1,0.5,1,1,1.0,1,0.5,1,0.5,0,0,0.0,0.0,,22.73038625717163,22.73038625717163
scene_04,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,103.12159283955891,70.10719060897827
scene_05,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,116.076730966568,52.08625268936157
scene_05,random_candidate,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,43.19939645131429,50.19161653518677
scene_05,top_score,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,38.01445976893107,51.46726417541504
scene_05,vlm_best_question,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,1,0.3333333333333333,1.3333333333333333,4.0,168.9528993765513,123.39700031280518
scene_06,proposed_efe,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,85.29309503237407,57.984259366989136
scene_06,random_candidate,3,2,1,0.6666666666666666,2,1,0.5,1,0.3333333333333333,1,0.3333333333333333,0,0,0.0,0.0,,37.244817892710365,49.32883071899414
scene_06,top_score,3,2,1,0.6666666666666666,2,1,0.5,1,0.3333333333333333,1,0.3333333333333333,0,0,0.0,0.0,,33.93547224998474,46.94453430175781
scene_06,vlm_best_question,2,2,0,1.0,2,1,0.5,1,0.5,0,0.0,0,0,0.0,0.0,,59.937013387680054,59.937013387680054
scene_07,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,88.54040026664734,79.11427903175354
scene_07,random_candidate,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,0,0.0,0.0,,49.631410121917725,49.03617000579834
scene_07,top_score,3,2,1,0.6666666666666666,2,1,0.5,1,0.3333333333333333,1,0.3333333333333333,0,0,0.0,0.0,,42.59248415629069,45.67769765853882
scene_07,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,86.67034308115642,86.34061288833618
scene_08,proposed_efe,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,1,0.3333333333333333,0.3333333333333333,1.0,78.66353066762288,81.79223561286926
scene_08,random_candidate,3,2,1,0.6666666666666666,2,1,0.5,1,0.3333333333333333,1,0.3333333333333333,0,0,0.0,0.0,,39.48683214187622,49.317599296569824
scene_08,top_score,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,0,0.0,0.0,,64.23533868789673,57.98958992958069
scene_08,vlm_best_question,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,126.42965149879456,139.9443714618683
scene_09,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.3333333333333333,1.0,74.20962047576904,63.92781591415405
scene_09,random_candidate,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,0,0.0,0.0,,68.46639800071716,61.50301623344421
scene_09,top_score,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,0,0.0,0.0,,42.065101067225136,41.40231418609619
scene_09,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,112.3859490553538,107.09980821609496
scene_10,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,80.0209223429362,60.33890223503113
scene_10,random_candidate,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,31.186280091603596,43.18414807319641
scene_10,top_score,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,0,0.0,0.0,,48.88567495346069,48.42441868782044
scene_10,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,111.19531695048015,114.54641246795654
scene_11,proposed_efe,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,1,0.3333333333333333,0.3333333333333333,1.0,39.1334810256958,48.91261100769043
scene_11,random_candidate,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,0,0.0,0.0,,60.330681244532265,51.53935241699219
scene_11,top_score,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,36.20200626055399,52.05856943130493
scene_11,vlm_best_question,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,32.3943616549174,44.86202526092529
scene_12,proposed_efe,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,17.615065813064575,8.229378461837769
scene_12,random_candidate,2,1,1,0.5,1,1,1.0,1,0.5,1,0.5,0,0,0.0,0.0,,28.763624906539913,28.763624906539913
scene_12,top_score,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,17.814619541168213,5.474290132522583
scene_12,vlm_best_question,3,2,1,0.6666666666666666,2,1,0.5,1,0.3333333333333333,1,0.3333333333333333,0,1,0.3333333333333333,0.3333333333333333,1.0,32.3980921904246,41.56566858291626
scene_13,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,54.139963150024414,54.25144720077515
scene_13,random_candidate,3,2,1,0.6666666666666666,2,0,0.0,0,0.0,1,0.3333333333333333,0,0,0.0,0.0,,29.715726296106975,39.27424621582031
scene_13,top_score,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,38.99380580584208,52.24414849281311
scene_13,vlm_best_question,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,60.9110742410024,41.00133657455444
scene_14,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,36.9657928943634,41.37776494026184
scene_14,random_candidate,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,19.263259331385296,10.842463731765749
scene_14,top_score,3,2,1,0.6666666666666666,2,0,0.0,0,0.0,1,0.3333333333333333,0,0,0.0,0.0,,34.6564744313558,33.9323844909668
scene_14,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,61.07103784879049,60.107112646102905
scene_15,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.3333333333333333,1.0,55.651909271876015,63.07343506813049
scene_15,random_candidate,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,21.311366240183514,14.142001628875732
scene_15,top_score,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,18.922983010609943,7.602682828903198
scene_15,vlm_best_question,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,1,0.3333333333333333,0.3333333333333333,1.0,74.75072940190633,85.84410905838013
scene_16,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,88.619078318278,83.75720286369324
scene_16,random_candidate,1,0,1,0.0,0,0,,0,0.0,1,1.0,0,0,0.0,0.0,,51.589335918426514,51.589335918426514
scene_16,top_score,2,1,1,0.5,1,1,1.0,1,0.5,1,0.5,0,0,0.0,0.0,,6.626463890075684,6.626463890075684
scene_16,vlm_best_question,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,2,0.6666666666666666,1.3333333333333333,2.0,130.70038318634033,129.04905462265015
scene_17,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.6666666666666666,2.0,93.58953468004863,86.18184566497803
scene_17,random_candidate,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,50.34058674176534,70.93351745605469
scene_17,top_score,3,1,2,0.3333333333333333,1,1,1.0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.0,0.0,,33.27810565630595,33.772834062576294
scene_17,vlm_best_question,2,2,0,1.0,2,2,1.0,2,1.0,0,0.0,0,1,0.5,1.0,2.0,158.69096744060514,158.69096744060514
scene_18,proposed_efe,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,1,0.3333333333333333,0.3333333333333333,1.0,96.13388586044312,98.386981010437
scene_18,random_candidate,3,3,0,1.0,3,3,1.0,3,1.0,0,0.0,0,0,0.0,0.0,,74.16074498494466,66.63698768615723
scene_18,top_score,3,2,1,0.6666666666666666,2,2,1.0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.0,0.0,,46.75955446561178,44.50240874290466
scene_18,vlm_best_question,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,1,0.3333333333333333,0.3333333333333333,1.0,85.82461516062419,89.71352481842041
scene_19,proposed_efe,3,3,0,1.0,3,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,2,0.6666666666666666,0.6666666666666666,1.0,81.86135705312093,84.90478610992432
