trial_id,scene_id,prompt_type,method,exclude_reason
online_trial_20260521_210806_040565,scene_04,ambiguous,top_score,method_prompt_balance_seeded_random_exclusion
online_trial_20260527_184604_a4cbad,scene_16,partial,top_score,method_prompt_balance_seeded_random_exclusion
online_trial_20260527_184350_da194c,scene_16,clear,random_candidate,method_prompt_balance_seeded_random_exclusion
online_trial_20260523_212354_d13660,scene_12,ambiguous,random_candidate,method_prompt_balance_seeded_random_exclusion
online_trial_20260527_184531_b6a82e,scene_16,partial,random_candidate,method_prompt_balance_seeded_random_exclusion
online_trial_20260527_191509_a31971,scene_17,partial,vlm_best_question,method_prompt_balance_seeded_random_exclusion
online_trial_20260527_202450_b1c217,scene_20,ambiguous,proposed_efe,method_prompt_balance_seeded_random_exclusion
online_trial_20260521_195222_8b5e76,scene_01,partial,proposed_efe,method_prompt_balance_seeded_random_exclusion
