prompt_type,N,target_eval_N,target_correct,target_wrong_or_unresolved,target_selection_accuracy,grasp_attempted,physical_grasp_success,physical_grasp_success_rate,correct_object_grasp_success,task_success_rate,wrong_object_grasp,wrong_target_prevented,asked_N,asked_rate,mean_questions_all,mean_questions_asked,mean_time_s,median_time_s
ambiguous,76,76,47,29,0.618421052631579,47,44,0.9361702127659575,44,0.5789473684210527,0,29,35,0.4605263157894737,1.0,2.1714285714285713,85.09520146407579,56.88693010807037
clear,76,76,75,1,0.9868421052631579,75,68,0.9066666666666666,68,0.8947368421052632,0,1,1,0.013157894736842105,0.013157894736842105,1.0,53.53027553307383,48.73681938648224
partial,76,76,52,24,0.6842105263157895,52,43,0.8269230769230769,43,0.5657894736842105,0,24,3,0.039473684210526314,0.039473684210526314,1.0,49.725078551392805,51.04375195503235
