eps_fp,eps_tp,tau_fp,tau_tp,tau_final
0.01,0.01,0.5046449899673462,0.3121652901172638,0.5046449899673462
0.01,0.02,0.5046449899673462,0.32712268829345703,0.5046449899673462
0.01,0.03,0.5046449899673462,0.3401259481906891,0.5046449899673462
0.01,0.04,0.5046449899673462,0.3515838384628296,0.5046449899673462
0.01,0.05,0.5046449899673462,0.35885384678840637,0.5046449899673462
0.01,0.06,0.5046449899673462,0.3687959909439087,0.5046449899673462
0.01,0.07,0.5046449899673462,0.37521296739578247,0.5046449899673462
0.01,0.08,0.5046449899673462,0.3830002248287201,0.5046449899673462
0.01,0.09,0.5046449899673462,0.39082932472229004,0.5046449899673462
0.01,0.1,0.5046449899673462,0.3987773358821869,0.5046449899673462
0.01,0.11,0.5046449899673462,0.4047017991542816,0.5046449899673462
0.01,0.12,0.5046449899673462,0.41200897097587585,0.5046449899673462
0.01,0.13,0.5046449899673462,0.417283296585083,0.5046449899673462
0.01,0.14,0.5046449899673462,0.42354804277420044,0.5046449899673462
0.01,0.15,0.5046449899673462,0.4286336898803711,0.5046449899673462
0.01,0.16,0.5046449899673462,0.43381446599960327,0.5046449899673462
0.01,0.17,0.5046449899673462,0.43911486864089966,0.5046449899673462
0.01,0.18,0.5046449899673462,0.44459840655326843,0.5046449899673462
0.01,0.19,0.5046449899673462,0.4492764174938202,0.5046449899673462
0.01,0.2,0.5046449899673462,0.45281803607940674,0.5046449899673462
0.01,0.21,0.5046449899673462,0.45662403106689453,0.5046449899673462
0.01,0.22,0.5046449899673462,0.46143150329589844,0.5046449899673462
0.01,0.23,0.5046449899673462,0.4650297164916992,0.5046449899673462
0.01,0.24,0.5046449899673462,0.46998530626296997,0.5046449899673462
0.01,0.25,0.5046449899673462,0.473291277885437,0.5046449899673462
0.01,0.26,0.5046449899673462,0.47672128677368164,0.5046449899673462
0.01,0.27,0.5046449899673462,0.48006686568260193,0.5046449899673462
0.01,0.28,0.5046449899673462,0.48308706283569336,0.5046449899673462
0.01,0.29,0.5046449899673462,0.4861908257007599,0.5046449899673462
0.02,0.01,0.4589100778102875,0.3121652901172638,0.4589100778102875
0.02,0.02,0.4589100778102875,0.32712268829345703,0.4589100778102875
0.02,0.03,0.4589100778102875,0.3401259481906891,0.4589100778102875
0.02,0.04,0.4589100778102875,0.3515838384628296,0.4589100778102875
0.02,0.05,0.4589100778102875,0.35885384678840637,0.4589100778102875
0.02,0.06,0.4589100778102875,0.3687959909439087,0.4589100778102875
0.02,0.07,0.4589100778102875,0.37521296739578247,0.4589100778102875
0.02,0.08,0.4589100778102875,0.3830002248287201,0.4589100778102875
0.02,0.09,0.4589100778102875,0.39082932472229004,0.4589100778102875
0.02,0.1,0.4589100778102875,0.3987773358821869,0.4589100778102875
0.02,0.11,0.4589100778102875,0.4047017991542816,0.4589100778102875
0.02,0.12,0.4589100778102875,0.41200897097587585,0.4589100778102875
0.02,0.13,0.4589100778102875,0.417283296585083,0.4589100778102875
0.02,0.14,0.4589100778102875,0.42354804277420044,0.4589100778102875
0.02,0.15,0.4589100778102875,0.4286336898803711,0.4589100778102875
0.02,0.16,0.4589100778102875,0.43381446599960327,0.4589100778102875
0.02,0.17,0.4589100778102875,0.43911486864089966,0.4589100778102875
0.02,0.18,0.4589100778102875,0.44459840655326843,0.4589100778102875
0.02,0.19,0.4589100778102875,0.4492764174938202,0.4589100778102875
0.02,0.2,0.4589100778102875,0.45281803607940674,0.4589100778102875
0.02,0.21,0.4589100778102875,0.45662403106689453,0.4589100778102875
0.02,0.22,0.4589100778102875,0.46143150329589844,0.46143150329589844
0.02,0.23,0.4589100778102875,0.4650297164916992,0.4650297164916992
0.02,0.24,0.4589100778102875,0.46998530626296997,0.46998530626296997
0.02,0.25,0.4589100778102875,0.473291277885437,0.473291277885437
0.02,0.26,0.4589100778102875,0.47672128677368164,0.47672128677368164
0.02,0.27,0.4589100778102875,0.48006686568260193,0.48006686568260193
0.02,0.28,0.4589100778102875,0.48308706283569336,0.48308706283569336
