eps_fp,eps_tp,tau_final,TP,FP,N,recall_obj,precision,f1,fp_per_image
0.01,0.01,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.02,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.03,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.04,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.05,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.06,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.07,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.08,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.09,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.1,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.11,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.12,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.13,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.14,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.15,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.16,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.17,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.18,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.19,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.2,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.21,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.22,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.23,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
0.01,0.24,0.5046449899673462,826,4,1233,0.6699107866991079,0.9951807228915662,0.8007755695588948,0.02631578947368421
