method,candidate_count,trials,asked_trials,asked_rate_pct,avg_candidate_count_asked,median_candidate_count_asked,actual_total_questions_asked_trials,actual_mean_q_asked_trials,ideal_half_total_q_asked_trials,ideal_half_mean_q_asked_trials,split04_total_q_asked_trials,split04_mean_q_asked_trials,mixed_expected_total_q_asked_trials,mixed_expected_mean_q_asked_trials,actual_minus_split04_total,actual_over_split04,actual_minus_mixed_expected_total,actual_over_mixed_expected
vlm_best_question,4,19,19,100.0,4.0,4.0,43,2.2632,38,2.0,38,2.0,41.8,2.2,5,1.1316,1.2,1.0287
vlm_best_question,5,5,5,100.0,5.0,5.0,12,2.4,15,3.0,15,3.0,13.44,2.688,-3,0.8,-1.44,0.8929
vlm_best_question,6,22,21,95.4545,6.0,6.0,75,3.5714,63,3.0,63,3.0,66.192,3.152,12,1.1905,8.808,1.1331
vlm_best_question,7,12,12,100.0,7.0,7.0,44,3.6667,36,3.0,36,3.0,42.6679,3.5557,8,1.2222,1.3321,1.0312
vlm_best_question,8,2,2,100.0,8.0,8.0,6,3.0,6,3.0,8,4.0,7.8999,3.95,-2,0.75,-1.8999,0.7595
vlm_direct,0,1,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,1,113,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,2,33,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,3,11,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,4,21,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,5,3,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,6,20,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,7,11,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
vlm_direct,8,3,0,0.0,,,0,,0,,0,,0.0,,0,,0.0,
