family,method_A,method_B,log_odds_diff_A_minus_B,se,odds_ratio,or_ci95_low,or_ci95_high,p_raw,descriptive_acc_A,descriptive_acc_B,descriptive_acc_diff_A_minus_B,p_holm
A,proposed_efe,top_score,2.748258999547678,0.2713073574769782,15.615421748304746,9.175130147859198,26.576341964405106,4.0794723947288e-24,0.9212962962962963,0.5370370370370371,0.3842592592592592,1.63178895789152e-23
A,proposed_efe,random_candidate,2.8305649093255782,0.3092198291820865,16.955036177735536,9.248802134158199,31.082214498524987,5.491848865746164e-20,0.9212962962962963,0.5324074074074074,0.38888888888888884,1.0983697731492328e-19
A,proposed_efe,vlm_direct,2.9268078055459696,0.34504574831254753,18.66794357527869,9.492653074722028,36.71177220810778,2.2064102503299092e-17,0.9212962962962963,0.5370370370370371,0.3842592592592592,2.2064102503299092e-17
A,vlm_best_question,vlm_direct,2.8876306489593304,0.30514275249454975,17.950727600495703,9.870503389001495,32.645611747243926,2.986252752171698e-21,0.9212962962962963,0.5370370370370371,0.3842592592592592,8.958758256515093e-21
B,proposed_efe,first_question,0.11109321869949901,0.17798496571532563,1.1174990738095807,0.7883939999842855,1.5839848857172456,0.5325146823838094,0.9212962962962963,0.9120370370370371,0.00925925925925919,1.0
B,proposed_efe,random_question,0.1938188358254086,0.18051125890201122,1.2138763521276519,0.8521580781547234,1.7291343425922407,0.28294748210476095,0.9212962962962963,0.9074074074074074,0.01388888888888884,0.8488424463142829
B,proposed_efe,vlm_best_question,0.03917715658663918,0.1888837724124479,1.0399547021572086,0.7181800054814445,1.505897928492011,0.8356864762572338,0.9212962962962963,0.9212962962962963,0.0,1.0
