method,trials,asked_trials,asked_rate_pct,avg_candidate_count_asked,median_candidate_count_asked,actual_total_questions_asked_trials,actual_mean_q_asked_trials,expected_80_half_total_q_asked_trials,expected_80_half_mean_q_asked_trials,expected_80_split04_total_q_asked_trials,expected_80_split04_mean_q_asked_trials,actual_minus_expected_80_half_total,actual_over_expected_80_half,actual_minus_expected_80_split04_total,actual_over_expected_80_split04
top_score,216.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
random_candidate,216.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
vlm_direct,216.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
first_question,216.0,101.0,46.75925925925926,4.217821782178218,4.0,239.0,2.366336633663366,201.4421028571429,1.994476265912306,202.3870171428572,2.003831852899576,37.55789714285709,1.186445120509351,36.61298285714281,1.180905788197368
random_question,216.0,101.0,46.75925925925926,4.198019801980198,4.0,241.0,2.386138613861386,197.76861714285718,1.9581051202263087,198.7181028571429,1.9675059688826029,43.23138285714282,1.218595768538518,42.281897142857105,1.2127732528387374
vlm_best_question,216.0,102.0,47.22222222222222,4.147058823529412,4.0,235.0,2.303921568627451,199.48931809523816,1.955777628384688,200.2737752380953,1.963468384687209,35.51068190476184,1.1780079366846534,34.72622476190469,1.1733937692072787
proposed_efe,216.0,104.0,48.148148148148145,4.105769230769231,4.0,199.0,1.9134615384615385,199.81374095238095,1.9212859706959706,200.80284571428572,1.9307965934065936,-0.8137409523809538,0.9959275025406041,-1.8028457142857235,0.991021811927651
