family,method_A,method_B,log_odds_diff_A_minus_B,se,odds_ratio,or_ci95_low,or_ci95_high,p_raw,descriptive_acc_A,descriptive_acc_B,descriptive_acc_diff_A_minus_B,p_holm
A,proposed_efe,top_score,2.7424236170809504,0.2703202919840538,15.52456513937377,9.139410117276896,26.370643145891492,3.484580552128179e-24,0.9212962962962963,0.5370370370370371,0.3842592592592592,1.3938322208512715e-23
A,proposed_efe,random_candidate,2.7647642231105833,0.2728277274223444,15.875296521287023,9.300069538253252,27.099264000355355,3.914018204782243e-24,0.9212962962962963,0.5324074074074074,0.38888888888888884,1.3938322208512715e-23
A,proposed_efe,vlm_direct,2.7605961084357453,0.31218376763234246,15.809264175682895,8.573841860035072,29.150623239452678,9.330242872094082e-19,0.9212962962962963,0.5370370370370371,0.3842592592592592,9.330242872094082e-19
A,vlm_best_question,vlm_direct,2.754244601568163,0.30141383391627735,15.709169737453122,8.701309112939011,28.361021386212958,6.376447376637988e-20,0.9212962962962963,0.5370370370370371,0.3842592592592592,1.2752894753275976e-19
B,proposed_efe,first_question,0.15390373700629098,0.18929283575586833,1.1663786022780518,0.804841253947556,1.6903197210374963,0.41619182412696,0.9212962962962963,0.9120370370370371,0.00925925925925919,0.83238364825392
B,proposed_efe,random_question,0.20214618536426296,0.17910781455836244,1.224026929855778,0.8616508548299676,1.738803967539514,0.25905457980155133,0.9212962962962963,0.9074074074074074,0.01388888888888884,0.777163739404654
B,proposed_efe,vlm_best_question,0.006351506867582157,0.17764959457646443,1.0063717204602565,0.7104606627947866,1.4255314794742902,0.9714793055542355,0.9212962962962963,0.9212962962962963,0.0,0.9714793055542355
