Contrast,Old OR,New OR + Prompt Features,OR Change,Old Holm p,New Holm p,Old conclusion,New conclusion
proposed_efe vs top_score,15.52456513937377,15.615421748304746,0.09085660893097547,1.3938322208512718e-23,1.63178895789152e-23,significant,significant
proposed_efe vs random_candidate,15.875296521287025,16.955036177735536,1.0797396564485116,1.3938322208512718e-23,1.0983697731492328e-19,significant,significant
proposed_efe vs vlm_direct,15.809264175682896,18.66794357527869,2.858679399595795,9.330242872094082e-19,2.206410250329909e-17,significant,significant
vlm_best_question vs vlm_direct,15.709169737453122,17.950727600495703,2.2415578630425816,1.2752894753275976e-19,8.958758256515093e-21,significant,significant
proposed_efe vs first_question,1.1663786022780518,1.1174990738095807,-0.0488795284684711,0.83238364825392,1.0,comparable/n.s.,comparable/n.s.
proposed_efe vs random_question,1.224026929855778,1.213876352127652,-0.010150577728125887,0.777163739404654,0.8488424463142829,comparable/n.s.,comparable/n.s.
proposed_efe vs vlm_best_question,1.0063717204602565,1.0399547021572086,0.033582981696952174,0.9714793055542356,1.0,comparable/n.s.,comparable/n.s.
